top - 16:10:11 up  7:45,  2 users,  load average: 0.13, 0.21, 0.19
Tasks: 172 total,   1 running, 171 sleeping,   0 stopped,   0 zombie
%Cpu(s): 11.3 us,  1.9 sy,  0.0 ni, 86.0 id,  0.9 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem:   3766000 total,  1882200 used,  1883800 free,   222788 buffers
KiB Swap:  1586172 total,        0 used,  1586172 free.  1076516 cached Mem

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
  781 root      20   0  174572  32704  17304 S   6.5  0.9   5:46.02 Xorg
    1 root      20   0  127116   3932   2276 S   0.0  0.1   0:00.57 systemd
    2 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kthreadd
    3 root      20   0       0      0      0 S   0.0  0.0   0:00.96 ksoftirqd/0
    5 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/0:0H
    7 root      20   0       0      0      0 S   0.0  0.0   0:04.01 rcu_sched
    8 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcu_bh
    9 root      rt   0       0      0      0 S   0.0  0.0   0:00.01 migration/0
   10 root      rt   0       0      0      0 S   0.0  0.0   0:00.05 watchdog/0
   11 root      rt   0       0      0      0 S   0.0  0.0   0:00.04 watchdog/1
   12 root      rt   0       0      0      0 S   0.0  0.0   0:00.01 migration/1
   13 root      20   0       0      0      0 S   0.0  0.0   0:00.45 ksoftirqd/1
   15 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/1:0H
   16 root      rt   0       0      0      0 S   0.0  0.0   0:00.04 watchdog/2
   17 root      rt   0       0      0      0 S   0.0  0.0   0:00.01 migration/2
   18 root      20   0       0      0      0 S   0.0  0.0   0:00.78 ksoftirqd/2
   20 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/2:0H
   21 root      rt   0       0      0      0 S   0.0  0.0   0:00.04 watchdog/3
   22 root      rt   0       0      0      0 S   0.0  0.0   0:00.01 migration/3
   23 root      20   0       0      0      0 S   0.0  0.0   0:00.40 ksoftirqd/3
   25 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/3:0H
   26 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 khelper
   27 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kdevtmpfs
   28 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 netns
   29 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 writeback
   30 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kintegrityd
   31 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   32 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kblockd
   35 root      20   0       0      0      0 S   0.0  0.0   0:00.00 khungtaskd
   36 root      20   0       0      0      0 S   0.0  0.0   0:00.02 kswapd0
   37 root      25   5       0      0      0 S   0.0  0.0   0:00.00 ksmd
   38 root      39  19       0      0      0 S   0.0  0.0   0:00.00 khugepaged
   39 root      20   0       0      0      0 S   0.0  0.0   0:00.00 fsnotify_mark
   40 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 crypto
   45 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kthrotld
   46 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 deferwq
   57 root      20   0       0      0      0 S   0.0  0.0   0:00.82 kworker/3:1
   86 root      20   0       0      0      0 S   0.0  0.0   0:00.00 khubd
   87 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ata_sff
   91 root      20   0       0      0      0 S   0.0  0.0   0:00.54 kworker/2:1
   92 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_0
   93 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_1
   94 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_2
   95 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_3
   96 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_4
  105 root       0 -20       0      0      0 S   0.0  0.0   0:00.09 kworker/1:1H
  106 root       0 -20       0      0      0 S   0.0  0.0   0:00.01 kworker/3:1H
  107 root       0 -20       0      0      0 S   0.0  0.0   0:00.02 kworker/2:1H
  108 root       0 -20       0      0      0 S   0.0  0.0   0:00.25 kworker/0:1H
  121 root      20   0       0      0      0 S   0.0  0.0   0:00.69 jbd2/sda8-8
  122 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ext4-rsv-conver
  150 root      20   0   40944   4316   3916 S   0.0  0.1   0:00.39 systemd-journal
  151 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kauditd
  175 root      20   0   35272   2276   1168 S   0.0  0.1   0:00.70 systemd-udevd
  237 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kpsmoused
  238 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kmemstick
  244 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ktpacpid
  255 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 hd-audio1
  260 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 cfg80211
  262 root     -51   0       0      0      0 S   0.0  0.0   0:54.85 irq/46-iwlwifi
  317 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 iwlwifi
  457 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 hd-audio0
  625 root      20   0   23272   1056    768 S   0.0  0.0   0:00.01 rpcbind
  634 statd     20   0   23480   1328    868 S   0.0  0.0   0:00.00 rpc.statd
  639 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 rpciod
  641 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 nfsiod
  648 root      20   0   25428    424    212 S   0.0  0.0   0:00.00 rpc.idmapd
  650 root      20   0   19336   2168   1856 S   0.0  0.1   0:00.00 bluetoothd
  655 avahi     20   0   32208   1848   1544 S   0.0  0.0   0:00.06 avahi-daemon
  662 daemon    20   0   19000    780    620 S   0.0  0.0   0:00.00 atd
  663 message+  20   0   42664   2792   1476 S   0.0  0.1   0:02.86 dbus-daemon
  666 root      20   0   27456   1348   1076 S   0.0  0.0   0:00.01 cron
  669 root      20   0  260868   1964   1536 S   0.0  0.1   0:00.12 rsyslogd
  672 root      20   0  361092   9836   7092 S   0.0  0.3   0:04.73 NetworkManager
  673 root      20   0  328528   4700   3564 S   0.0  0.1   0:00.01 ModemManager
  675 root      20   0   36580   1768   1436 S   0.0  0.0   0:00.01 systemd-logind
  677 root      20   0  268596   3552   2740 S   0.0  0.1   0:00.26 accounts-daemon
  683 root      20   0   16452    948    788 S   0.0  0.0   0:00.00 agetty
  717 root      20   0  351628   3780   2912 S   0.0  0.1   0:00.01 lightdm
  721 avahi     20   0   32084    460    212 S   0.0  0.0   0:00.00 avahi-daemon
  725 root      20   0    4220     96      0 S   0.0  0.0   0:00.00 minissdpd
  726 ntp       20   0   35404   2272   1652 S   0.0  0.1   0:00.62 ntpd
  752 dnsmasq   20   0   36680   1864   1552 S   0.0  0.0   0:00.01 dnsmasq
  776 root      20   0   76052   3508   2588 S   0.0  0.1   0:00.00 cups-browsed
  779 root      20   0  272540   5016   2948 S   0.0  0.1   0:00.11 polkitd
  827 root      10 -10       0      0      0 S   0.0  0.0   0:00.00 krfcommd
  898 root      20   0   28528   9772    200 S   0.0  0.3   0:00.00 dhcpd
 1184 Debian-+  20   0   54908   1112    600 S   0.0  0.0   0:00.00 exim4
 1190 root      20   0   30616   4076   3196 S   0.0  0.1   0:00.81 wpa_supplicant
 1200 lightdm   20   0   37868   2160   1660 S   0.0  0.1   0:00.00 systemd
 1201 lightdm   20   0   61984   1688     64 S   0.0  0.0   0:00.00 (sd-pam)
 1208 lightdm   20   0   24312    576    324 S   0.0  0.0   0:00.00 dbus-launch
 1209 lightdm   20   0   41560   1124    776 S   0.0  0.0   0:00.00 dbus-daemon
 1211 lightdm   20   0  337400   3100   2572 S   0.0  0.1   0:00.00 at-spi-bus-laun
 1215 lightdm   20   0   41560   1740   1400 S   0.0  0.0   0:00.43 dbus-daemon
 1218 lightdm   20   0  125036   3328   2768 S   0.0  0.1   0:02.14 at-spi2-registr
 1223 root      20   0  164144   3888   3028 S   0.0  0.1   0:00.01 lightdm
 1227 gpestana  20   0   37868   2152   1660 S   0.0  0.1   0:00.00 systemd
 1228 gpestana  20   0   61984   1700     64 S   0.0  0.0   0:00.00 (sd-pam)
 1234 gpestana  20   0  268224   8644   5832 S   0.0  0.2   0:01.05 x-session-manag
 1259 gpestana  20   0   10620    336      0 S   0.0  0.0   0:00.05 ssh-agent
 1262 gpestana  20   0   24312    576    324 S   0.0  0.0   0:00.00 dbus-launch
 1263 gpestana  20   0   42528   2100    836 S   0.0  0.1   0:00.35 dbus-daemon
 1265 gpestana  20   0   37400   2460   2020 S   0.0  0.1   0:00.03 xfconfd
 1269 gpestana  20   0   19196    448    216 S   0.0  0.0   0:00.26 gpg-agent
 1270 gpestana  20   0  196160  13176   9972 S   0.0  0.3   0:04.94 xfwm4
 1272 gpestana  20   0 1059972  21672  15028 S   0.0  0.6   0:05.25 Thunar
 1273 gpestana  20   0  488120  15352  11024 S   0.0  0.4   0:04.16 xfce4-panel
 1275 gpestana  20   0  594244  26916  14416 S   0.0  0.7   0:01.58 xfdesktop
 1276 gpestana  20   0  358712   8544   6272 S   0.0  0.2   0:00.32 xfsettingsd
 1277 gpestana  20   0  567736 190360  47920 S   0.0  5.1   8:12.75 skype
 1281 gpestana  20   0  395288  11860   9176 S   0.0  0.3   0:00.19 xfce4-power-man
 1284 gpestana  20   0  209240   3660   2924 S   0.0  0.1   0:00.02 gvfsd
 1298 gpestana  20   0  180488  10224   8184 S   0.0  0.3   0:09.80 panel-11-cpufre
 1300 gpestana  20   0  182560  10292   8240 S   0.0  0.3   0:29.34 panel-12-system
 1301 gpestana  20   0  180436  10116   8136 S   0.0  0.3   0:00.72 panel-7-battery
 1302 gpestana  20   0  180440  10296   8260 S   0.0  0.3   0:00.20 panel-9-datetim
 1303 gpestana  20   0  400668  13460  10408 S   0.0  0.4   0:00.19 panel-2-actions
 1304 gpestana  20   0  182744   7832   6144 S   0.0  0.2   0:00.08 panel-6-systray
 1305 gpestana  20   0  677020  15996  12044 S   0.0  0.4   0:00.57 panel-8-mixer
 1306 root      20   0   55772   1884   1480 S   0.0  0.1   0:00.00 sudo
 1307 root      20   0  248136   5916   4200 S   0.0  0.2   0:00.23 upowerd
 1490 gpestana  20   0  451908   7000   4404 S   0.0  0.2   3:14.55 pulseaudio
 1491 rtkit     21   1  168756   1312   1076 S   0.0  0.0   0:00.11 rtkit-daemon
 1496 gpestana  20   0  302696   5272   3756 S   0.0  0.1   0:00.05 gvfs-udisks2-vo
 1498 root      20   0  364544   4932   3384 S   0.0  0.1   0:01.80 udisksd
 1508 gpestana  20   0  206420   3252   2592 S   0.0  0.1   0:00.00 gvfs-mtp-volume
 1513 gpestana  20   0  296676   4352   3312 S   0.0  0.1   0:00.00 gvfs-afc-volume
 1518 gpestana  20   0  215496   3752   2900 S   0.0  0.1   0:00.01 gvfs-gphoto2-vo
 1523 gpestana  20   0  202528   3296   2700 S   0.0  0.1   0:00.00 gvfs-goa-volume
 1526 gpestana  20   0  653656  18576  14136 S   0.0  0.5   0:00.05 goa-daemon
 1544 gpestana  20   0  374396   7556   3600 S   0.0  0.2   0:01.40 gvfsd-trash
 1550 gpestana  20   0  660956  37960  18872 S   0.0  1.0   0:01.21 /usr/bin/termin
 1552 gpestana  20   0  238280  16152   6888 S   0.0  0.4   0:00.14 applet.py
 1566 gpestana  20   0  770080  19436  14128 S   0.0  0.5   0:02.92 nm-applet
 1575 gpestana  20   0   65004   3140   2276 S   0.0  0.1   0:01.47 xscreensaver
 1585 gpestana  20   0   51628   2580   2032 S   0.0  0.1   0:00.03 gconfd-2
 1586 gpestana  20   0  535396   9068   6352 S   0.0  0.2   0:00.07 xfce4-volumed
